,Padj_maxP_GM_BIO_1949634_10x_vs_GM_DMSO,dPSI_GM_BIO_1949634_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_1949634_3x_vs_GM_DMSO,dPSI_GM_BIO_1949634_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2178782_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2178782_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2178782_10x_vs_GM_DMSO,dPSI_GM_BIO_2178782_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2178782_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2178782_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2178782_3x_vs_GM_DMSO,dPSI_GM_BIO_2178782_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2186827_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2186827_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2186827_10x_vs_GM_DMSO,dPSI_GM_BIO_2186827_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2186827_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2186827_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2186827_3x_vs_GM_DMSO,dPSI_GM_BIO_2186827_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196772_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2196772_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2196772_10x_vs_GM_DMSO,dPSI_GM_BIO_2196772_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196772_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2196772_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2196772_3x_vs_GM_DMSO,dPSI_GM_BIO_2196772_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196895_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2196895_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2196895_10x_vs_GM_DMSO,dPSI_GM_BIO_2196895_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2196895_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2196895_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2196895_3x_vs_GM_DMSO,dPSI_GM_BIO_2196895_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2197306_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2197306_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2197306_10x_vs_GM_DMSO,dPSI_GM_BIO_2197306_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2197306_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2197306_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2197306_3x_vs_GM_DMSO,dPSI_GM_BIO_2197306_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2199562_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2199562_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2199562_10x_vs_GM_DMSO,dPSI_GM_BIO_2199562_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2199562_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2199562_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2199562_3x_vs_GM_DMSO,dPSI_GM_BIO_2199562_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2201042_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2201042_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2201042_10x_vs_GM_DMSO,dPSI_GM_BIO_2201042_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2201042_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2201042_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2201042_3x_vs_GM_DMSO,dPSI_GM_BIO_2201042_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2204984_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2204984_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2204984_10x_vs_GM_DMSO,dPSI_GM_BIO_2204984_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2204984_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2204984_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2204984_3x_vs_GM_DMSO,dPSI_GM_BIO_2204984_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2206678_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2206678_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2206678_10x_vs_GM_DMSO,dPSI_GM_BIO_2206678_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2206678_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2206678_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2206678_3x_vs_GM_DMSO,dPSI_GM_BIO_2206678_3x_vs_GM_DMSO,Padj_maxP_GM_BIO_2207180_10x_vs_GM_BIO_1949634_10x,dPSI_GM_BIO_2207180_10x_vs_GM_BIO_1949634_10x,Padj_maxP_GM_BIO_2207180_10x_vs_GM_DMSO,dPSI_GM_BIO_2207180_10x_vs_GM_DMSO,Padj_maxP_GM_BIO_2207180_3x_vs_GM_BIO_1949634_3x,dPSI_GM_BIO_2207180_3x_vs_GM_BIO_1949634_3x,Padj_maxP_GM_BIO_2207180_3x_vs_GM_DMSO,dPSI_GM_BIO_2207180_3x_vs_GM_DMSO
ANKRD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31293746239425e-17,0.34202879229343,5.2722912738176e-12,0.333131658653801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANKS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9426,0.4118,0.9514,0.4276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANP32A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999,0.6452,NA,NA,NA,NA,NA,NA,0.9759,0.4779,NA,NA,NA,NA,NA,NA,0.9736,0.5019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9645,0.4816,1,0.6679,NA,NA,0.9722,0.5083,NA,NA,NA,NA,NA,NA,NA,NA,0.9982,0.5815,1,0.7813,NA,NA,0.9629,0.4923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANXA11,NA,NA,NA,NA,0.9999,0.4216,1,0.4217,NA,NA,NA,NA,0,0.336,0,0.343,NA,NA,NA,NA,1,0.4837,1,0.4833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.532,0,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.414,0,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP001816.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186271694626304,0.289730307562497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AP2M1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.52524892609401e-10,0.311494978595456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APLP2,NA,NA,NA,NA,NA,NA,0,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0832799808689e-10,0.334482488280884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181022612091747,0.277377703070438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
APPL2,NA,NA,NA,NA,1,0.5387,1,0.6244,NA,NA,NA,NA,0.9643,0.3828,0.9997,0.4812,NA,NA,NA,NA,NA,NA,0.9974,0.4226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.672,1,0.7718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARHGAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000345406027675849,0.254947458016057,0.000203693440883686,0.262972375369992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.20924793952807e-06,0.406211391083574,9.13927304541246e-07,0.414138155983342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000766351259918001,0.28534928716899,0.000549488208712788,0.29330426212698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARHGAP5,NA,NA,NA,NA,3.16425122026487e-06,0.318545317800314,6.88353477223771e-07,0.322280678816675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.29498683618761e-07,0.384195888329489,2.38234489858149e-07,0.387798309568909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARL15,NA,NA,NA,NA,0,0.722,0,0.945,0,0.691,0,0.738,0,0.74,0,0.962,0,0.642,0,0.689,0,0.737,0,0.959,0,0.618,0,0.665,0.000269533930225964,0.344,0,0.566,NA,NA,NA,NA,0,0.732,0,0.955,0,0.569,0,0.616,0,0.755,0,0.977,1,0.819,0,0.851,0,0.719,0,0.941,1,0.6403,0,0.699,0,0.677,0,0.899,1,0.6876,0,0.712,NA,NA,0,0.522,1,0.5963,0,0.616,NA,NA,0,0.555,0,0.446,0,0.493
ARMCX6,NA,NA,NA,NA,2.82905705023243e-11,0.251294699481007,0,0.302,NA,NA,NA,NA,7.98463268023939e-12,0.417262482154995,1.04594871240518e-12,0.250764380930439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.17800107399265e-12,0.267753064441797,NA,NA,NA,NA,0,0.356,0,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03892173510941e-08,0.266784174734886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARSJ,NA,NA,NA,NA,4.88253028364811e-05,0.505817115066094,2.77738697393305e-05,0.505712437448284,NA,NA,NA,NA,0.000491496934591348,0.321945272344212,0.000308183146745457,0.323334619558974,NA,NA,NA,NA,2.73602883879056e-05,0.258220154622587,0.000186639790282816,0.42428302260863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.68182014030714e-05,0.558672744409832,NA,NA,NA,NA,NA,NA,0.000932274404807678,0.326466053874911,0.000113103838049779,0.294432703084123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASAP1,NA,NA,NA,NA,0,0.958,0,0.994,0,0.687,0,0.69,0,0.945,0,0.982,0,0.777,0,0.78,0,0.947,0,0.984,0,0.789,0,0.792,0,0.33,0,0.367,NA,NA,NA,NA,0,0.934,0,0.971,0,0.485,0,0.488,0,0.951,0,0.988,0,0.942,0,0.945,0,0.933,0,0.969,0,0.482,0,0.485,0,0.92,0,0.957,0,0.734,0,0.737,0,0.409,0,0.446,0,0.311,0,0.314,0,0.363,0,0.399,3.46289399849313e-07,0.38446859328471,6.04951176509636e-07,0.393767658502077
ASAP2,NA,NA,NA,NA,0,0.322,0,0.322,NA,NA,NA,NA,1.65469937253932e-07,0.421786372044875,1.50815012529671e-07,0.421273929756927,NA,NA,NA,NA,2.20548888724038e-06,0.31280724272937,1.7940936965845e-06,0.312308247166991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASCC3,NA,NA,NA,NA,NA,NA,6.76171131660056e-05,0.281056646987769,NA,NA,NA,NA,2.2315569852187e-05,0.439249281511119,2.87680331134962e-05,0.53244671813479,NA,NA,NA,NA,3.07066688224548e-05,0.467633951516389,4.04759856429814e-05,0.560594022027842,NA,NA,NA,NA,0.000192799488765856,0.30595637331247,9.01606184072018e-05,0.399148666405082,NA,NA,NA,NA,NA,NA,0.000120874775901183,0.316380398997435,NA,NA,NA,NA,3.80900822446809e-06,0.569556121780471,1.23117967978816e-05,0.662935011688144,0.000943338730899005,0.325918639978429,0.000414969821330247,0.334595699058187,NA,NA,NA,NA,NA,NA,NA,NA,5.71678169266272e-06,0.722860280009115,4.2239979936335e-05,0.816527831765115,0.000127540406048344,0.449859405841305,5.67233152328087e-05,0.458154171719584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000154167264643199,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0002865811874472,0.462,NA,NA,NA,NA,NA,NA,NA,NA
ATG2B,NA,NA,NA,NA,0.000794300182439933,0.30046629396734,0.000584664771742441,0.300450679015536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000607388972800391,0.377618096686279,0.000463335606189151,0.377628650439316,NA,NA,NA,NA,0.00163337394651671,0.269443560586835,0.00135323499351714,0.26944309121473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP5MC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000247095383028997,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP5MC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00576063431603707,0.440480775203561,NA,NA,0.0362992107062226,0.327615851428333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATP6AP1L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0391632717945517,0.279235368256624,NA,NA,NA,NA,NA,NA,0.0123282016405443,0.375063342548895,NA,NA,NA,NA,NA,NA,0.00920138386934649,0.310056944667179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0224647894921132,0.303300292027461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATRX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0070402077565834,0.343,NA,NA,NA,NA,NA,NA
AVL9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000623359003457192,0.267959680633261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AXIN1,NA,NA,NA,NA,0,0.419,0,0.565,9.84775340443545e-05,0.298386160636052,0,0.338,0,0.526,0,0.672,0,0.334,0,0.394,0,0.493,0,0.639,0.00611992519377719,0.26467375926845,0.000151877018797093,0.355686639881316,NA,NA,9.01606184072018e-05,0.26947836993958,NA,NA,NA,NA,0,0.365,0,0.51,0.000944380641930886,0.253971793407157,1.43151672214742e-05,0.344458903322465,0,0.602,0,0.747,0,0.448,0,0.508,0,0.35,0,0.495,0.00174421593409624,0.264475376605063,3.16477794656602e-05,0.354717172975756,0,0.585,0,0.73,0.000155762353747034,0.32476572928461,0,0.347,NA,NA,0.000628518435791407,0.307440598350421,NA,NA,NA,NA,NA,NA,0.000112429272973728,0.338766477780747,NA,NA,NA,NA
BDNF.AS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000279045248608965,0.351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BECN1,NA,NA,NA,NA,1,0.5491,1,0.5517,NA,NA,NA,NA,1,0.5418,1,0.5393,NA,NA,NA,NA,1,0.4822,1,0.4951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.7055,1,0.7063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.4906,1,0.4853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BPHL,NA,NA,NA,NA,NA,NA,NA,NA,0.00785516697806274,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000802901091343988,0.505,0.0333211787362592,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0148087409695144,0.35,NA,NA,0.000434560373716986,0.517,0.0289125435837578,0.36,NA,NA,NA,NA,NA,NA,NA,NA
BTBD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62224487773284e-07,0.388044611127022,1.36344286390642e-07,0.394165812208608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BX890604.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0482007234768887,0.34320310606822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C12orf4,1.21182613081468e-05,0.38622379738291,NA,NA,3.29618286897978e-07,0.523768385998852,2.94816861709688e-08,0.926597702180879,1.63256744505174e-05,0.642509849039057,5.90879991357034e-06,0.668086103646959,0.000513113120614256,0.387016787455014,2.83442943504835e-06,0.788214792020416,NA,NA,NA,NA,0.000987281310063371,0.355478896304566,4.04165205705702e-05,0.773370558421234,NA,NA,NA,NA,0.000834240381995125,0.311896958992003,NA,NA,NA,NA,NA,NA,NA,NA,3.92045688033857e-06,0.6314885231445,NA,NA,NA,NA,1.04587441566247e-05,0.547630093658378,4.04865220572947e-06,0.949206496293676,7.39941953314135e-05,0.362774974258854,0.000122240754665637,0.386720867173455,NA,NA,2.77716227368624e-06,0.632529949225102,NA,NA,NA,NA,0.000128174349458627,0.393982837721378,2.27721573432169e-05,0.822538399990607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000189021728686847,0.34489282351878,NA,NA,NA,NA,NA,NA
C14orf132,NA,NA,NA,NA,0,0.561,0,0.599,0.000210736397343643,0.332238107755052,0.000777724717971514,0.320116376222579,1.10745375134471e-12,0.577,0,0.614,0.00120696633695717,0.329250485998431,0.003813134127268,0.316569673859902,0,0.416,0,0.453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.347,0,0.385,NA,NA,NA,NA,0,0.622,0,0.66,0,0.337,0,0.328,0,0.352,0,0.39,NA,NA,NA,NA,1.80860265035966e-10,0.364,0,0.402,NA,NA,NA,NA,NA,NA,0.00214096182653723,0.263215862865661,0.00157917029954668,0.33253436436641,0.00458131457282398,0.31994573119715,NA,NA,NA,NA,NA,NA,NA,NA
C1orf220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00660022376354233,0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1RL.AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0157328509905965,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CACNA2D1,NA,NA,NA,NA,0.000105155178339153,0.42894686199253,6.83150688450005e-05,0.437022561554109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000423023565234856,0.440735779220119,0.000281885425360927,0.448894761474092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CACNB1,NA,NA,NA,NA,0.00705695757184836,0.373835983220313,9.05028991379681e-06,0.551794862616977,0.0208412868070256,0.288552565375881,0.00110711472127272,0.314389282530559,NA,NA,0.000493097734212502,0.335263341189162,NA,NA,NA,NA,NA,NA,0.000212583405985149,0.326413360455622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0282242912462665,0.368329328327584,NA,NA,NA,NA,0.00905348283270123,0.394646590363709,4.78239617518079e-05,0.57898396779934,NA,NA,NA,NA,NA,NA,0.00603941248353433,0.345610466528441,NA,NA,NA,NA,NA,NA,0.000521635790834511,0.309685474052822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CACNB4,NA,NA,NA,NA,1.71623793460263e-06,0.446,8.73246656804245e-10,0.477,NA,NA,NA,NA,4.31387401890717e-06,0.257393375950745,5.76982905900211e-14,0.306,NA,NA,NA,NA,0.000350598968441642,0.252962140237769,0,0.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000159587537542316,0.264152806604695,2.32817354661894e-06,0.319,NA,NA,NA,NA,8.47611429723967e-07,0.318042673662991,4.55195643678e-06,0.61,NA,NA,NA,NA,0.00142905788373793,0.272052449400873,0.000162373432916818,0.286765135387518,NA,NA,NA,NA,NA,NA,1.05454533994221e-12,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
