,Padj_maxP_SH_BIO_1949634_10x_vs_SH_DMSO,dPSI_SH_BIO_1949634_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_1949634_3x_vs_SH_DMSO,dPSI_SH_BIO_1949634_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2178782_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2178782_10x_vs_SH_DMSO,dPSI_SH_BIO_2178782_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2178782_3x_vs_SH_DMSO,dPSI_SH_BIO_2178782_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2196772_10x_vs_SH_DMSO,dPSI_SH_BIO_2196772_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196772_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2196772_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2196772_3x_vs_SH_DMSO,dPSI_SH_BIO_2196772_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196895_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2196895_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2196895_10x_vs_SH_DMSO,dPSI_SH_BIO_2196895_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2196895_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2196895_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2196895_3x_vs_SH_DMSO,dPSI_SH_BIO_2196895_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2197306_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2197306_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2197306_10x_vs_SH_DMSO,dPSI_SH_BIO_2197306_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2197306_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2197306_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2197306_3x_vs_SH_DMSO,dPSI_SH_BIO_2197306_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2199562_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2199562_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2199562_10x_vs_SH_DMSO,dPSI_SH_BIO_2199562_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2199562_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2199562_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2199562_3x_vs_SH_DMSO,dPSI_SH_BIO_2199562_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2204984_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2204984_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2204984_10x_vs_SH_DMSO,dPSI_SH_BIO_2204984_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2204984_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2204984_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2204984_3x_vs_SH_DMSO,dPSI_SH_BIO_2204984_3x_vs_SH_DMSO,Padj_maxP_SH_BIO_2207180_10x_vs_SH_BIO_1949634_10x,dPSI_SH_BIO_2207180_10x_vs_SH_BIO_1949634_10x,Padj_maxP_SH_BIO_2207180_10x_vs_SH_DMSO,dPSI_SH_BIO_2207180_10x_vs_SH_DMSO,Padj_maxP_SH_BIO_2207180_3x_vs_SH_BIO_1949634_3x,dPSI_SH_BIO_2207180_3x_vs_SH_BIO_1949634_3x,Padj_maxP_SH_BIO_2207180_3x_vs_SH_DMSO,dPSI_SH_BIO_2207180_3x_vs_SH_DMSO
DTX2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0140511370764764,0.374,0.00736136338046756,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DTYMK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00230411873456092,0.341,NA,NA
DUBR,0.0133461496143151,-0.341,NA,NA,7.09073897629195e-07,0.74,NA,NA,NA,NA,NA,NA,3.97055067194078e-05,0.612,NA,NA,NA,NA,NA,NA,0.000118824235544997,0.565,0.0042471415717137,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98444274410793e-06,0.697,NA,NA,NA,NA,NA,NA,0.000124572668124388,0.413,5.67075195203416e-06,0.668,NA,NA,NA,NA,0.00340658586890802,0.393,NA,NA,NA,NA,NA,NA
DUSP12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04587009397758,0.585,0.000431619747110625,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0120376953440076,-0.453,NA,NA
DUXAP9,0.00286749128143716,0.342,0.0337575665964293,0.338,0.00271433814411656,-0.342,0.9909,0.4053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32751734691556e-06,0.414,0.00476286789807283,-0.342,NA,NA,NA,NA,0.0467545286032028,0.343,NA,NA,NA,NA,NA,NA,0.00864041283415138,0.307,NA,NA,NA,NA,NA,NA,4.8992643615437e-10,0.535,NA,NA,NA,NA,0.011692068531451,0.304,NA,NA,NA,NA,0.00335788078176908,-0.328,NA,NA,4.0558855163291e-09,0.538
DVL3,NA,NA,0.000595017150038114,0.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000364411476951495,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0398724633943024,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0102569632237769,0.539,NA,NA,NA,NA,NA,NA
DYNC1LI1,NA,NA,NA,NA,0.00038679539556465,-0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000838547807978559,-0.337,NA,NA,NA,NA,NA,NA,0.000314051032281042,-0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DYNLL1,0.0177503976932238,0.357,0.00157293694003682,0.345,NA,NA,0.0210785605615333,0.315,NA,NA,0.000181443877313568,0.468,NA,NA,1.19243903425361e-06,0.527,NA,NA,NA,NA,0.00658339832033475,-0.375,0.000141046194399499,0.489,NA,NA,0.0142241787957363,0.319,NA,NA,4.97840417172138e-05,0.342,NA,NA,NA,NA,NA,NA,8.76849228969426e-05,0.52,NA,NA,NA,NA,NA,NA,3.59245680999237e-05,0.506,NA,NA,2.61829210084881e-05,0.542,NA,NA,NA,NA,NA,NA,NA,NA
DYRK1A,NA,NA,NA,NA,NA,NA,9.38868442343416e-06,-0.427,NA,NA,7.0567106022997e-06,-0.339,NA,NA,0.0206462850089117,-0.359,NA,NA,NA,NA,NA,NA,0.000127262830342363,-0.378,NA,NA,NA,NA,0.000268270055622802,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000473463027655215,-0.392,6.58215008599734e-05,-0.419,NA,NA,NA,NA,NA,NA,NA,NA,0.00102042610852112,0.459,NA,NA,NA,NA,NA,NA
EBF3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.17289633498116e-05,-0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00432831440206605,0.335,0.000227965039879886,0.396,0.000268633256977317,0.447,2.95189598409142e-05,0.496,NA,NA,NA,NA,NA,NA,NA,NA,0.0398170813980783,0.335,0.00733056247850784,0.357,0.00998871078319853,-0.403,NA,NA,NA,NA,NA,NA
EED,NA,NA,0.0157233916003774,-0.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEF1AKMT3,NA,NA,1.10743530941667e-06,-0.726,NA,NA,NA,NA,NA,NA,0.0120812995062295,-0.479,NA,NA,NA,NA,0.00318985676799803,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0116701374390506,-0.636,NA,NA,NA,NA,NA,NA,NA,NA,0.000675971454506133,-0.44,2.86050933230824e-07,-0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEF1D,NA,NA,NA,NA,1.00718720320523e-09,0.534,NA,NA,NA,NA,NA,NA,2.60103777538162e-06,0.485,NA,NA,NA,NA,NA,NA,NA,NA,0.00102141023214027,0.525,NA,NA,NA,NA,NA,NA,0.0156403665946545,0.312,NA,NA,NA,NA,0.00562873254768416,0.304,0.000160152612762032,0.574,NA,NA,0.0471268597724862,0.333,NA,NA,0.000183049968345077,0.49,NA,NA,2.71527864338983e-05,0.377,NA,NA,NA,NA,NA,NA,NA,NA
EFCAB13,0.00285157472438315,0.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25917014691444e-06,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07848255234546e-06,0.554,NA,NA,0.0272213740479314,0.435,NA,NA,1.35310805092828e-05,0.69,NA,NA,NA,NA
EFCAB6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035698954246376,-0.556,NA,NA,NA,NA
EFHC1,NA,NA,NA,NA,NA,NA,NA,NA,0.000986862033505177,-0.339,NA,NA,NA,NA,NA,NA,0.00917029747959539,-0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83133092182305e-05,-0.509,NA,NA,NA,NA,NA,NA,NA,NA,0.0199264529425059,0.323,NA,NA,NA,NA,0.00157667806254541,-0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EHHADH,NA,NA,NA,NA,8.6426317560471e-06,-0.446,1.25160238685268e-09,-0.526,6.90561850126834e-11,-0.406,5.76522058962405e-08,-0.417,1.84476960455205e-06,-0.456,1.96066754481264e-10,-0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000947602153046657,-0.314,NA,NA,NA,NA,0.00284673495709666,-0.332,1.78300366780132e-06,-0.412,3.52757319855655e-05,-0.35,0.000194682657639097,-0.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIF2B4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99089653621971e-05,-0.306,NA,NA,NA,NA,NA,NA,4.54172212880693e-05,-0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIF2B5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0277335740477943,0.389,0.00322428216835281,0.408,NA,NA,NA,NA,0.00335631465620673,0.594,0.00356363909116062,0.389,NA,NA,NA,NA,0.0334245553103184,0.346,0.0111402184836556,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIF3H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000630890834185287,-0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000297369071397842,-0.573,NA,NA
EIF4E3,NA,NA,NA,NA,NA,NA,NA,NA,0.0188906013777066,-0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIF4G3,1.10674741244182e-06,0.383,NA,NA,0.00597725961027097,-0.301,NA,NA,NA,NA,NA,NA,1.62042742981447e-06,-0.383,NA,NA,NA,NA,NA,NA,0.00143425791429256,-0.322,NA,NA,NA,NA,8.70846363950108e-05,0.45,0.0025153283930209,-0.311,NA,NA,NA,NA,NA,NA,0.000102186081629476,-0.356,NA,NA,NA,NA,NA,NA,0.00403243076516822,-0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIPR1,NA,NA,NA,NA,NA,NA,0.000322410093413667,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELF2,NA,NA,NA,NA,NA,NA,0.0115602941230393,0.266885992521031,0.043505988587675,0.329,NA,NA,NA,NA,0.000861153434801552,0.252422721625888,0.0149329553120686,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00080010102900534,0.25858595416256,0.0164320831499522,0.322,NA,NA,NA,NA,0.000710470849346544,0.264779548225481,0.0479242005783021,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELK4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183731540995488,-0.573,NA,NA,NA,NA,NA,NA,0.000408696391685225,-0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449599746308332,0.374
ELMO2,NA,NA,NA,NA,NA,NA,2.39398387099109e-06,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELMO3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113070705116186,0.403,NA,NA,NA,NA,NA,NA,NA,NA,0.0335614295279631,0.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0029369334842683,-0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELMOD3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00508757613957253,-0.408,NA,NA,NA,NA,NA,NA,0.000813060412604162,-0.385,NA,NA,NA,NA,NA,NA,0.00550398534517241,-0.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0248050618186889,-0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00530705889707095,-0.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000980528757229923,0.545,NA,NA,NA,NA,NA,NA,0.0283697593002246,0.392,NA,NA
ELOC,0.00972117122842349,-0.307,NA,NA,0.00608063758670164,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0495640625049636,-0.33,0.0131937743088602,-0.494,0.0294239255534667,-0.422,NA,NA,NA,NA,0.000357289467192931,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ELOVL5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00432318500839241,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00262357723834117,0.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMC4,NA,NA,0.0230281883758575,0.439,NA,NA,0.0377173507243638,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0472873164336858,0.376,NA,NA,0.0385745152097177,0.319,NA,NA,0.0188035435133425,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00308291059120909,0.611
EMID1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065612992128909,-0.325,NA,NA,NA,NA,NA,NA
EML6,NA,NA,0.017951055793405,-0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0467489640271793,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EMSY,NA,NA,NA,NA,NA,NA,2.57166130083367e-05,-0.431828490110012,NA,NA,NA,NA,0.00373774939081198,-0.284408599599792,5.81127558193789e-09,0.257948788402112,NA,NA,NA,NA,NA,NA,3.94370115009387e-05,-0.262015298143007,NA,NA,NA,NA,NA,NA,1.41350129906014e-07,-0.328584445600651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8066079786446e-07,-0.276251663097425,NA,NA,7.6358877479538e-08,-0.381877494437293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENAH,NA,NA,NA,NA,NA,NA,1,0.4645,NA,NA,NA,NA,0.9906,0.3912,1,0.5954,NA,NA,0.9843,0.3708,NA,NA,0.9989,0.3955,NA,NA,NA,NA,NA,NA,1,0.4572,NA,NA,NA,NA,NA,NA,1,0.4915,0.9833,0.3708,1,0.4542,NA,NA,1,0.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENO1,0.0133640306573706,-0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83890663024258e-06,0.487,NA,NA,NA,NA,NA,NA,4.14315722195381e-07,0.538,NA,NA,NA,NA,0.000319476722210253,-0.644,0.00012717261351434,0.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000259629536023031,0.327,NA,NA,NA,NA,NA,NA,2.4786030182217e-05,0.55,NA,NA,NA,NA,NA,NA
ENOSF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00415598924879943,-0.397,NA,NA,NA,NA,NA,NA,NA,NA
ENOX1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.912,0.4322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENTPD8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55949471726331e-11,-0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000163081470808791,-0.597
EOLA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0150421851306056,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EP400P1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00013983525148972,-0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0311484157840836,0.307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00127548730383097,-0.461
EPB41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0317792374176486,-0.333,NA,NA
EPB41L2,NA,NA,NA,NA,NA,NA,NA,NA,0.000716998064936514,0.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86669069422014e-05,0.522,NA,NA,NA,NA,NA,NA
EPB41L4A,NA,NA,NA,NA,NA,NA,NA,NA,0.00137333219077973,-0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPM2A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62342544736631e-06,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPN2,NA,NA,NA,NA,NA,NA,NA,NA,0.00370628701393969,0.483,0.000641552273043916,-0.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0357744089965827,-0.338,NA,NA,NA,NA,1.7407035413064e-05,-0.521,NA,NA,NA,NA,NA,NA,NA,NA,0.0335011855655178,-0.53,1.15071608492167e-10,-0.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0174651204334147,0.451,NA,NA
EPS15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0020561457756287,-0.341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERBB4,0.0131320444916788,-0.488,NA,NA,NA,NA,0.0409973792540986,-0.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00428950320920695,-0.588,NA,NA,NA,NA,0.0456285574591757,0.359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5607610474243e-05,0.684,NA,NA,NA,NA,NA,NA
ERC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000204192195899039,-0.523,0.00236079883244716,-0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERCC6L2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0475475548487776,0.405,NA,NA,NA,NA,NA,NA,0.0125899446387307,0.449,NA,NA,NA,NA,NA,NA,0.0238368920196103,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERGIC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000599152143700037,-0.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ERGIC3,NA,NA,NA,NA,NA,NA,0,-0.371,NA,NA,0,-0.343,NA,NA,0,-0.404,NA,NA,0,-0.347,NA,NA,0,-0.328,NA,NA,NA,NA,NA,NA,0,-0.382,NA,NA,0,-0.315,NA,NA,0,-0.396,NA,NA,0,-0.364,NA,NA,0,-0.367,NA,NA,0,-0.304,NA,NA,NA,NA,NA,NA,NA,NA
