"X"	"overal_dPSI"	"dPSI_iPSC_2197294_3x"	"dPSI_NGN2_2197294_3x"	"dPSI_Sy5Y_2197294_3x"	"UniqueID"	"coordinate_CE_hg38"	"Splicing_outcome"	"Tier"	"Involve.multipe.exons."	"Sy5Y"	"iPSC_PTC518_3x_logFC"	"iPSC_PTC518_3x_Adj.P.Value"	"iPSC_3vs3_log2FC"	"iPSC_3vs3_padj"	"NGN2_PTC518_3x_logFC"	"NGN2_PTC518_3x_Adj.P.Value"	"NGN2_3vs3_log2FC"	"NGN2_3vs3_padj"	"Sy5Y_PTC518_3x_logFC"	"Sy5Y_PTC518_3x_Adj.P.Value"	"Sy5Y_3vs3_log2FC"	"Sy5Y_3vs3_padj"	"iPSC_2197294_3x_2"	"iPSC_2197294_3x_3"	"iPSC_2197294_3x_4"	"iPSC_DMSO_2"	"iPSC_DMSO_3"	"iPSC_DMSO_4"	"NGN2_2197294_3x_1"	"NGN2_2197294_3x_2"	"NGN2_2197294_3x_3"	"NGN2_DMSO_1"	"NGN2_DMSO_2"	"NGN2_DMSO_3"	"Sy5Y_2197294_3x_2"	"Sy5Y_2197294_3x_3"	"Sy5Y_2197294_3x_4"	"Sy5Y_DMSO_2"	"Sy5Y_DMSO_3"	"Sy5Y_DMSO_4"
"CLN3"	0.1	NA	-0.3	NA	"ENSG00000188603.20"	""	""	NA	""	NA	4.05033739419974e-06	1	"0.152633252292818"	"0.964681360388505"	-2.55131223541555e-06	1	"-0.0151805056738526"	"1"	2.70534155522512e-07	1	"0.00689789085794038"	"1"	1192	1497	1323	1192	1469	1201	1614	1465	1589	1707	1470	1355	1278	1172	1152	1390	1535	1203
"MACF1"	0.089208644	NA	0.267625931	NA	"ENSG00000127603.29"	""	""	NA	""	NA	-4.1390109170115e-06	1	"-0.175102343609348"	"0.964681360388505"	-1.57230755761827e-06	1	"-0.129258300471858"	"1"	-3.58821540945271e-06	1	"-0.0641052147538438"	"1"	57995	29098	51143	59823	49323	54216	32941	30506	35789	38645	32010	33308	36531	22750	35639	39634	31785	41908
"SVOPL"	0.088074853	NA	-0.264224558	NA	"ENSG00000157703.16"	""	""	NA	""	NA	-5.90245307410295e-06	1	"-0.0695182238186555"	"0.977794000693929"	-6.28751319676089e-06	1	"-0.0291218518167325"	"1"	4.59481520266722e-06	1	"0.479835140330682"	"1"	169	112	114	170	139	131	148	131	143	156	141	117	8	15	6	7	6	11
"EXOC6B"	0.088051084	NA	NA	0.264153252	"ENSG00000144036.16"	"chr2:72182894-72182905"	"No change in RNA level, splicing change occurs in protein coding sequence, isoform switch"	3	""	NA	-2.71420929555581e-05	1	"-0.0743860240087821"	"0.964681360388505"	-1.16430093602428e-05	1	"-0.0373336161300034"	"1"	-4.74000868034954e-06	1	"0.0141461251929319"	"1"	5963	5356	6514	6472	6635	6789	7377	7897	7900	8420	7452	6923	2520	2067	2289	2724	2616	2483
""	NA	NA	NA	NA	"ERCC-00043"	""	""	NA	""	NA	-8.69118963946665e-10	1	NA	NA	-9.81722544102419e-10	NA	NA	NA	-1.36360386965252e-09	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"XRN2"	NA	NA	NA	NA	"ENSG00000088930.8"	"chr20:21,345,834-21,345,887"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.03115823938726e-05	1	"-0.680253169666987"	"0.010891658402186"	-3.37235978546004	7.40577974272756e-39	"-3.38335265802473"	"0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042136651454957"	-1.21007866449907e-05	1	"-0.717946121468733"	"0.0031243920102204"	17641	16065	11497	26960	24517	26233	1063	975	1057	11590	10321	9112	13477	12194	9025	21686	21437	22670
"FBL"	NA	NA	NA	NA	"ENSG00000105202.9"	"chr19:39,836,894-39,836,973"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-2.32296230460715e-06	1	"-0.0239731176983116"	"0.992829597067022"	-1.07680159093853	2.19000231514771e-12	"-1.02770622686214"	"0.000000000000000978243495989442"	-1.34688364999293e-05	1	"-0.159240338751105"	"1"	18515	19828	19892	21302	20729	21197	721	696	774	1691	1377	1233	9275	11380	9478	12233	14120	12618
"CIP2A"	NA	NA	NA	NA	"ENSG00000163507.14"	"chr3:108565898-108565931"	"Downregulation in RNA level, Nonsense-mediated decay, multiple exons"	1	""	NA	-1.24933790037613e-05	1	"-0.541477982679077"	"0.143221628583059"	-1.13231334156038	0.00415717161254681	"-1.2864412542333"	"0.00000000305054324776037"	-1.1402350994517e-05	1	"-0.487520745408197"	"0.356596296819364"	4909	3466	3196	6681	5424	5820	87	74	84	215	190	169	4826	3908	3129	6328	6629	6175
"FHOD3"	NA	NA	NA	NA	"ENSG00000134775.15"	"chr18:36,742,377-36,742,468"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.53069876776366	0.018315484918525	"-1.70668943754975"	"0.000000000000000146773669109139"	-1.3057496187002	0.0202534869889811	"-1.44162185643882"	"0.00000000000120753411276457"	-1.07932324392908e-05	1	"-1.03800534559079"	"0.0000113615437104823"	569	360	352	1496	1361	1572	2128	2047	2201	6197	5230	5180	3255	2195	1658	5906	5177	5649
"PITPNB"	NA	NA	NA	NA	"ENSG00000180957.18"	"chr22:27,894,376-27,894,422"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.21399288484231e-05	1	"-0.716394921267168"	"0.0854304025698275"	-3.64248299444576e-05	3.6024697260054e-12	"-2.01620144466032"	"0.000000000000000000000084010173376798"	-0.677006714285215	1	"-0.953606661329663"	"0.000620751361990681"	5990	5844	3883	9571	8590	9623	2515	2236	2364	10533	9133	8029	7880	7312	4482	15484	14081	14409
"PDXDC1"	NA	NA	NA	NA	"ENSG00000179889.19"	"chr16:15,009,499-15,009,561"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-9.67003216170102e-06	1	"-0.747202244087233"	"0.0555407770410066"	-2.34899470120806	3.99097089313583e-14	"-2.45420645790918"	"0.00000000000000000000000000000000229327529379102"	-1.06741577359107e-05	1	"-0.769637339524811"	"0.0366328749861174"	9488	7880	5755	14468	13351	13718	1290	1205	1574	7736	6736	6841	3890	3291	2065	6197	5979	5985
"HLTF"	NA	NA	NA	NA	"ENSG00000071794.16"	"chr3:149,052,045-149,052,144"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-2.18075848878634e-05	1	"-0.518604316307714"	"0.00366959325649123"	-4.62887599680981e-05	0.00174269878300843	"-0.958073953331972"	"0.00000000000000269536227635678"	-1.65081972409939e-05	1	"-0.382908993798512"	"0.181908324486835"	4256	3836	3483	5700	5706	6272	3876	3711	4413	8170	7429	6734	10613	8365	7785	13719	12862	13510
"RAD21"	NA	NA	NA	NA	"ENSG00000164754.15"	"chr8:116,861,154-116,861,297"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-5.90201654030468e-07	1	"-0.0382744291426469"	"0.964681360388505"	-0.492912908909022	0.000614188346873289	"-0.520470139923189"	"0.0000000000000000000310354312155583"	-4.75923668853337e-05	1	"-0.174078786765681"	"0.248025214426775"	28316	25555	29806	32014	28224	31079	15379	15100	15921	23432	21313	19079	38297	36957	37129	48941	51488	45674
"ASNS"	NA	NA	NA	NA	"ENSG00000070669.17"	"chr7:97,855,011-97,855,146"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	1.03710607938976e-05	1	"0.156739650998956"	"0.964681360388505"	-0.408754230975341	1	"-0.408872480457118"	"0.0154026472492689"	4.78750373209596e-06	1	"0.0402755060985014"	"1"	10957	10931	14624	11334	10879	12491	17230	16829	18038	25169	21374	19886	8408	9261	8240	8870	10619	9633
"GNAQ"	NA	NA	NA	NA	"ENSG00000156052.11"	"chr9:77,920,662-77,920,702"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-6.65439078811021e-06	1	"-0.273406465408921"	"0.964681360388505"	-2.84326296833454e-05	0.0987179129350665	"-0.950587662505236"	"0.000000000193727079123466"	-1.93686396566859e-05	1	"-0.683526985423037"	"0.000194074561424138"	8971	8296	7450	11407	10092	10439	22975	20232	22782	45793	40425	36290	9998	10442	7457	17863	18600	15326
"KDSR"	NA	NA	NA	NA	"ENSG00000119537.18"	"chr18:63,340,936-63,341,080"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.12514441311221e-05	1	"-0.242759198002048"	"0.964681360388505"	-4.49892235189302e-05	0.0303602417622228	"-0.778870145483911"	"0.000000434870050203883"	-2.24152118597151e-05	1	"-0.405395563790957"	"0.38190525136584"	3545	2994	2610	4339	3454	3782	1690	1516	1893	3195	2762	2449	2690	2626	2125	3675	3961	3736
"BTBD10"	NA	NA	NA	NA	"ENSG00000148925.10"	"chr11:13,419,277-13,419,343"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.82188640169028e-05	1	"-0.134909233161156"	"0.964681360388505"	-0.3289268712844	1	"-0.37527203596878"	"0.000644586571784512"	-3.4066541182111e-05	1	"-0.215621515274395"	"1"	2117	1703	1822	2476	1916	2201	7444	7417	7669	10315	9167	8534	2242	2278	2086	3081	2984	2782
"DLG5"	NA	NA	NA	NA	"ENSG00000151208.17"	"chr10:77,812,713-77,812,773"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-2.12561156177747e-05	1	"-0.234064197293407"	"0.323229373752042"	-1.88041292216935e-05	1	"-0.176055223688822"	"0.736743726412445"	-1.4765890679692e-05	1	"-0.138038217020686"	"1"	16060	11057	13304	17740	15574	16969	14345	14577	15254	17946	14966	14942	13181	10955	11951	15242	14837	15551
"HTR3A"	NA	NA	NA	NA	"ENSG00000166736.11"	"chr11:113,987,587-113,987,715"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.33827023803154e-05	1	"-0.31287298694226"	"0.964681360388505"	-0.650038517952535	0.226169631381581	"-0.684498201908886"	"0.0000282802701536378"	-7.5468351086364e-06	1	"-0.797172693254211"	"1"	593	509	445	801	635	618	2937	3085	2727	4746	4715	4004	11	10	3	18	20	10
"L3MBTL2"	NA	NA	NA	NA	"ENSG00000100395.15"	"chr22:41217516-41217844"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-8.43059576803054e-06	1	"-0.264676608367582"	"0.964681360388505"	-2.57641581780362e-05	1	"-0.63520862688067"	"0.000000352319552401411"	-1.52298136976523e-05	1	"-0.449121860891314"	"0.0112326606839009"	4036	3461	3484	4968	4486	4593	1955	2115	2058	3442	2998	2698	1444	1410	1057	2004	2146	2012
"SLC7A6"	NA	NA	NA	NA	"ENSG00000103064.15"	"chr16:68,287,330-68,287,442"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-4.73436414490304e-05	1	"-0.45852869433845"	"0.00000233934068487898"	-0.569746379864339	0.0219141452926439	"-0.584542322686046"	"0.00000000000120753411276457"	-0.361048482667496	1	"-0.42957050974995"	"0.00000775263088871477"	2501	2133	2215	3211	3356	3425	4050	4069	4361	6598	5871	5466	4931	3972	4109	6669	6447	7018
"VPS41"	NA	NA	NA	NA	"ENSG00000006715.16"	"chr7:38,799,045-38,799,140"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-2.46032826158694e-05	1	"-0.0833677815924748"	"0.964681360388505"	-0.142635517566305	1	"-0.194978561782393"	"0.0000000929160962608569"	-1.84171256550084e-05	1	"-0.0418231767106742"	"1"	5399	4755	5564	6006	5723	5941	9560	9548	9988	12160	10309	9522	9524	8768	9394	10717	11195	10892
"ELP4"	NA	NA	NA	NA	"ENSG00000109911.19"	"chr11:31,628,239-31,628,387"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-8.91631411444638e-06	1	"-0.195161151457415"	"0.964681360388505"	-2.3856777893024e-05	1	"-0.586327562670798"	"0.0000207204646112111"	-9.95097524265892e-06	1	"-0.215860667862717"	"1"	1221	1261	1169	1426	1544	1489	1049	982	1079	1636	1546	1298	1518	1577	1470	2169	2105	1842
"AGPS"	NA	NA	NA	NA	"ENSG00000018510.16"	"chr2:177,432,986-177,433,124"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-4.71980725483124e-06	1	"-0.0881996020652734"	"0.964681360388505"	-4.49721130459909e-05	1	"-0.411133830242006"	"0.00205482136631995"	-2.32338055109821e-05	1	"-0.211449999108715"	"1"	11282	10650	10704	13230	11359	12439	11441	10887	11402	16094	14350	12637	9991	11106	9800	13933	14973	12437
"MLLT10"	NA	NA	NA	NA	"ENSG00000078403.17"	"chr10:21,728,632-21,728,675"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-9.78991717872193e-06	1	"-0.360230929397347"	"0.875468877465834"	-1.58500071654343e-05	1	"-0.570673476396014"	"0.00658624869095748"	-4.67141946317854e-06	1	"-0.164032890352629"	"1"	4607	2728	3478	5211	4241	5190	1535	1568	1829	2532	2367	2111	5404	3765	4359	5961	5072	6328
"RDX"	NA	NA	NA	NA	"ENSG00000137710.17"	"chr11:110,263,332-110,263,435"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.25569272423167e-05	1	"-0.283204044757239"	"0.337255130871787"	-2.5946652638167e-05	1	"-0.499171611281732"	"0.00000589028018278309"	-1.71689075278572e-05	1	"-0.341154727391895"	"0.0467799060791245"	12134	11734	11823	15988	14031	16329	6975	6710	7145	10370	9439	8428	8807	8590	7823	13384	12375	11067
"ADAMTS19"	NA	NA	NA	NA	"ENSG00000145808.10"	"chr5:129,688,095-129,688,214"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-0.712406335509853	1	"-1.08798625687182"	"0.00929985648795222"	-1.05948838537071	1	"-1.35767317926742"	"0.000458999323148629"	-6.65756482074515e-06	1	"-0.844211439174582"	"0.217233513001501"	1904	1782	1154	3464	3799	3771	60	47	51	131	132	124	1536	826	714	2573	1750	1976
"TENT2"	NA	NA	NA	NA	"ENSG00000164329.13"	"chr5:79641455-79641517"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	-1.91857055907393e-05	1	"-0.849943001511445"	"0.00705530813740312"	-2.236116561924e-05	1	"-0.883874874229571"	"0.00115662009237891"	-2.19014604560575e-05	1	"-0.895542609838967"	"0.00165559966432026"	1592	1238	952	2747	2174	2372	522	499	578	1047	897	883	1457	969	796	2446	2067	2355
"Off-targets identified from DEGs"	NA	NA	NA	NA	NA	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CAC1B"	0.114969979	NA	NA	0.344909937	NA	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"V2"	0.102	-0.306	NA	NA	NA	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CRY1L"	NA	NA	NA	NA	NA	"chr13:20,405,904-20,406,128"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EH"	0.097360746	NA	0.292082238	NA	NA	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TSRE1"	0.109	NA	NA	-0.327	NA	""	""	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RARS"	NA	NA	NA	NA	NA	"chr5:168,518,469-168,518,523"	"Downregulation in RNA level, Nonsense-mediated decay"	1	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
