,U1-mut1-100-CHX_vs_DMSO,U1-mut1-100-CHX_vs_DMSO-CHX,U1-mut1-100-CHX_vs_mut1-100,U1-mut1-100-EtOH_vs_DMSO,U1-mut1-100-CHX_vs_WT_EtOH,U1-mut1-100-CHX_vs_WT_CHX,U1-mut1-100-EtOH_vs_WT_EtOH,U1-mut1-500-CHX_vs_DMSO,U1-mut1-500-CHX_vs_DMSO-CHX,U1-mut1-500-CHX_vs_mut1-500,U1-mut1-500-EtOH_vs_DMSO,U1-mut1-500-CHX_vs_WT_EtOH,U1-mut1-500-CHX_vs_WT_CHX,U1-mut1-500-EtOH_vs_WT_EtOH
AC096564.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CYP2U1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RPL34,1,0,1,0,1,0,0,0,0,0,0,0,0,0
OSTC,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC107071.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MCUB,1,0,1,0,1,0,0,0,0,0,0,0,0,0
PLA2G12A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRIT3,1,0,1,0,1,0,0,1,0,0,0,1,0,0
EGF,0,0,0,0,1,0,0,1,1,0,1,1,1,1
ELOVL6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PITX2,1,0,0,0,1,0,0,1,0,0,0,1,0,0
ZGRF1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ANK2,1,0,0,0,0,0,0,1,1,0,1,1,0,0
AC004057.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ARSJ,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NDST4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TRAM1L1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRSS12,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC110079.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SEPTIN14P4,0,0,1,0,0,0,0,1,0,0,0,0,0,0
METTL14,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GTF2IP12,1,0,1,0,1,0,0,0,0,1,0,1,0,0
AC093752.1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
NDNF,1,0,1,0,1,0,0,1,0,0,0,1,0,0
TMEM155,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRPC3,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AC097533.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KIAA1109,1,0,1,0,1,0,0,0,0,1,0,1,0,0
BBS12,0,0,1,0,1,0,0,0,0,1,0,1,0,0
AC021205.3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SPRY1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAT4,1,0,1,0,0,0,0,1,0,0,0,1,0,0
SLC25A31,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MFSD8,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LARP1B,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02615,1,0,1,0,0,0,0,1,0,0,0,0,0,0
JADE1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
PCDH10,1,0,1,0,1,0,0,1,0,0,0,1,0,0
AC015631.1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
SLC7A11,1,0,1,0,1,0,0,1,0,1,1,1,0,0
NOCT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PPP1R14BP3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
RAB33B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CLGN,1,0,0,0,0,0,0,1,0,0,0,1,0,0
ELMOD2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC096733.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
INPP4B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC097658.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
AC098588.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HHIP,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SMAD1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SMAD1.AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZNF827,1,0,1,0,1,0,0,1,0,1,0,0,0,0
REELD1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
POU4F2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PRMT9,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ARHGAP10,1,0,0,0,0,0,0,1,0,0,0,0,0,0
NR3C2,1,0,1,0,1,0,0,0,0,1,0,0,0,0
DCLK2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRBA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RPS3A,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AC095055.1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
FAM160A1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
TMEM154,0,0,0,0,0,0,0,1,0,0,1,0,0,0
TIGD4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FAM192BP,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TRIM2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
TDO2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GLRB,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ETFDH,0,0,0,0,0,0,0,1,0,0,0,1,0,0
APELA,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MSMO1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CPE,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SPOCK3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
HPF1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFAP3L,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AADAT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC034159.2,1,0,0,0,1,0,0,1,0,1,0,1,0,0
AC105285.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HPGD,0,0,0,0,0,0,0,1,0,0,1,1,0,1
GPM6A,1,0,1,0,1,0,0,1,0,0,0,0,0,0
WDR17,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SPATA4,0,0,0,0,0,0,0,1,0,1,0,1,0,0
SPCS3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
VEGFC,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NEIL3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TENM3,1,0,1,0,1,0,0,1,0,0,0,1,0,0
WWC2.AS2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
CDKN2AIP,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ING2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RWDD4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC074194.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
LINC02365,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CASP3,1,0,1,0,1,0,0,1,0,0,0,1,0,0
ANKRD37,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CYP4V2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PLEKHG4B,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC021087.5,1,0,1,0,1,0,0,1,0,1,1,1,0,0
AHRR,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SLC9A3.AS1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CEP72,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZDHHC11B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC026740.3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
BRD9,1,0,1,0,1,0,0,1,0,1,0,1,0,0
TERT,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC026748.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LPCAT1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
SDHAP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LSINCT5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC091978.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02145,1,0,1,0,0,0,0,1,0,0,0,0,0,0
MED10,1,0,1,0,1,0,0,1,0,0,0,1,0,0
UBE2QL1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC02236,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AC091951.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FASTKD3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CMBL,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AC012640.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MARCHF6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD33B,1,0,1,0,0,0,0,1,0,0,0,0,0,0
LINC01194,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC010491.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ANKH,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ZNF622,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MYO10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BASP1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
GUSBP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CDH12,1,0,0,0,1,0,0,1,0,0,0,1,0,0
PURPL,0,0,0,0,0,0,0,0,1,0,1,0,0,0
AC025178.2,0,0,1,0,1,0,0,1,0,1,0,1,0,0
GOLPH3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC025181.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC010343.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C1QTNF3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC138409.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC138409.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AC026801.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BRIX1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEF2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UGT3A2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
LMBRD2,0,0,0,0,0,0,0,0,1,0,1,0,0,0
SKP2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC008957.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CPLANE1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
GDNF,1,0,0,0,1,0,0,1,1,1,0,1,0,0
LIFR,1,0,1,0,1,0,0,1,0,0,0,1,0,0
PTGER4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
OXCT1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
C5orf51,1,0,1,0,1,0,0,1,0,0,0,0,0,0
ANXA2R,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ZNF131,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HMGCS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
C5orf34,1,0,1,0,1,0,0,1,0,1,0,1,0,0
EEF1A1P19,0,0,0,0,0,0,0,1,0,0,0,1,0,0
EMB,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PARP8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC010478.1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ISL1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
ITGA2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MOCS2,1,0,1,0,1,0,0,0,0,0,0,1,0,0
FST,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AC025175.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LINC01033,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ESM1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
GPX8,1,0,1,0,1,0,0,1,0,0,0,1,0,0
MCIDAS,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CCNO,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RPL26P19,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MAP3K1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PLK2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RAB3C,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZSWIM6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CWC27,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC092354.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADAMTS6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC025176.1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SHLD3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SREK1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
CCNB1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
AC022107.1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
MARVELD2,0,0,0,0,0,0,0,1,0,0,0,1,0,0
NAIPP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GUSBP3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC131392.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NAIPP2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC138866.2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC138866.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GTF2H2B,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NAIPP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC146944.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NAIP,1,0,1,0,1,0,0,1,0,1,0,1,0,0
OCLNP1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
NAIPP4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
GUSBP9,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BDP1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MAP1B,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PTCD2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
UTP15,1,0,1,0,1,0,0,1,0,0,0,0,0,0
ARHGEF28,1,0,1,0,1,0,0,1,0,1,0,0,0,0
ENC1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NSA2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GCNT4,1,0,1,0,1,0,0,0,1,0,0,0,0,0
ANKRD31,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HMGCR,1,0,1,0,1,0,0,0,0,0,0,0,0,0
POLK,1,0,1,0,1,0,0,0,0,0,0,0,0,0
POC5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SV2C,1,0,1,0,1,0,0,1,1,1,1,1,1,1
F2R,1,0,1,0,1,0,0,1,0,1,0,1,0,0
F2RL1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AGGF1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
ZBED3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZBED3.AS1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AC022414.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
PDE8B,0,0,1,0,1,0,0,0,0,1,0,1,0,0
WDR41,1,0,0,0,0,0,0,1,0,0,0,1,0,0
RPL7P23,1,0,1,0,0,0,0,0,0,0,0,0,0,0
OTP,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SCAMP1.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LHFPL2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
JMY,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TENT2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
CMYA5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MTX3,0,0,1,0,1,0,0,0,0,0,0,0,0,0
THBS4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC012636.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SERINC5,1,0,0,0,1,0,0,1,0,0,0,1,0,0
AC008771.1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
LINC01337,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DHFR,0,0,0,0,0,0,0,1,0,0,0,1,0,0
RPS23,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ATP6AP1L,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC104118.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
VCAN,1,0,1,0,1,0,0,1,0,0,0,1,0,0
EDIL3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AC010595.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
COX7C,1,0,1,0,1,0,0,0,0,0,0,0,0,0
RASA1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
TMEM161B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
MEF2C.AS2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MBLAC2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADGRV1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
ARRDC3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ARRDC3.AS1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NR2F1.AS1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NR2F1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FAM172A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
NPM1P27,0,0,0,0,1,0,0,0,0,0,0,1,0,0
KIAA0825,1,0,1,0,1,0,0,0,0,1,0,1,0,0
SLF1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RFESD,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GLRX,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LINC01554,1,0,1,0,0,0,0,1,0,1,0,0,0,0
CAST,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LNPEP,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LIX1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
RIOK2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LINC02062,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ST8SIA4,0,0,0,0,1,0,0,1,0,0,0,1,0,0
SLCO6A1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
LINC00491,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PAM,0,0,0,0,0,0,0,1,0,0,0,1,0,0
EIF3KP1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
GIN1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PPIP5K2,1,0,0,0,0,0,0,1,0,0,0,1,0,0
LINC02163,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MAN2A1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TMEM232,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CAMK4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
EPB41L4A.AS1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
YTHDC2,1,0,1,0,1,0,0,0,0,1,0,0,0,0
KCNN2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC008494.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AP3S1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
LVRN,0,0,1,0,1,0,0,0,0,1,0,1,0,0
SRFBP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LOX,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ZNF474,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SNX2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PPIC,1,0,1,0,1,0,0,1,0,0,0,1,0,0
PRDM6,1,0,1,0,1,0,0,1,0,1,0,0,0,0
ZNF608,1,0,1,0,1,0,0,1,0,1,0,1,0,0
PHAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LMNB1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FBN2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
SLC27A6,0,0,0,0,0,0,0,1,0,0,0,1,0,0
ADAMTS19,1,0,1,0,1,0,0,0,0,1,1,0,0,0
CHSY3,0,0,0,0,1,0,0,1,0,0,0,1,0,0
HINT1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
RAPGEF6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
FNIP1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ACSL6,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SLC22A4,1,0,1,0,1,0,0,0,0,0,0,1,0,0
AC116366.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IRF1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SOWAHA,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LEAP2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC113410.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC113410.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HSPA4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VDAC1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AC104109.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PCBD2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
CATSPER3,1,0,0,0,1,0,0,1,0,1,0,0,0,0
AC026691.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC109439.1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
KLHL3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HNRNPA0,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC106791.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PKD2L2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FAM13B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
BRD8,1,0,1,0,1,0,0,1,0,1,0,1,0,0
KIF20A,1,0,0,0,1,0,0,0,0,0,0,0,0,0
FAM53C,1,0,1,0,1,0,0,1,0,0,0,1,0,0
EGR1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
LRRTM2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC011405.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MATR3,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SNHG4,1,0,1,0,1,0,0,1,0,1,0,1,0,0
IGIP,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HBEGF,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ANKHD1.EIF4EBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EIF4EBP3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
APBB3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
CD14,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TMCO6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
WDR55,1,0,1,0,1,0,0,1,0,1,0,0,0,0
DND1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HARS2,1,0,1,0,1,0,0,1,0,0,0,1,0,0
PCDHB14,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TAF7,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AC005618.4,1,0,0,0,1,0,0,1,0,0,0,0,0,0
AC005618.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PCDHGA1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PCDHGA7,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PCDHGB7,1,0,1,0,0,0,0,1,0,0,0,0,0,0
PCDHGA11,1,0,0,0,0,0,0,1,0,0,0,0,0,0
PCDHGC3,1,0,1,0,0,0,0,1,0,1,0,0,0,0
PCDHGC4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RELL2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FCHSD1,1,0,1,0,1,0,0,1,0,0,0,1,0,0
ARAP3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PCDH1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
NDFIP1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SPRY4,1,0,1,0,0,0,0,1,1,0,1,1,0,0
AC091925.1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
PLAC8L1,1,0,1,0,1,0,0,1,1,0,1,1,1,1
TCERG1,1,0,1,0,1,0,0,1,0,0,0,0,0,0
STK32A,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JAKMIP2,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SPINK5,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC011346.1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
FBXO38,1,0,1,0,1,0,0,1,0,0,0,1,0,0
PCYOX1L,0,0,0,0,0,0,0,0,1,0,1,0,0,0
AC131025.1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ARHGEF37,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC26A2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
TIGD6,1,0,1,0,1,0,0,1,0,1,0,1,0,0
HMGXB3,1,0,1,0,1,0,0,1,0,1,0,1,0,0
RPL7P1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
PDGFRB,1,0,0,0,0,0,0,1,0,0,0,1,0,0
RPS14,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NDST1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
IRGM,1,0,1,0,0,0,0,1,0,0,0,1,0,0
ANXA6,0,0,1,0,1,0,0,0,0,0,0,0,0,0
GM2A,1,0,1,0,1,0,0,1,0,1,0,1,0,0
SLC36A1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
AC011337.1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
SPARC,1,0,1,0,1,0,0,0,0,0,0,0,0,0
FAXDC2,0,0,0,0,1,0,0,1,0,0,0,1,0,0
HAVCR1,0,0,0,0,1,0,0,1,1,0,1,1,1,1
HAVCR2,1,0,0,0,0,0,0,1,1,0,1,1,0,1
ADAM19,1,0,1,0,1,0,0,1,0,1,0,1,0,0
THG1L,1,0,0,0,0,0,0,1,0,0,0,1,0,0
RNF145,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AC134043.2,1,0,0,0,1,0,0,1,1,0,1,1,1,1
LINC01932,0,0,0,0,1,0,0,1,1,0,1,1,1,1
AC008691.1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
IL12B,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CCNJL,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ZBED8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PTTG1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
GABRG2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CCNG1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
SLIT3,0,0,0,0,0,0,0,1,0,0,0,1,0,0
INSYN2B,0,0,0,0,0,0,0,1,0,0,0,1,0,1
RANBP17,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC008514.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
USP12P1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TLX3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NPM1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
FGF18,0,0,0,0,0,0,0,1,0,0,0,1,0,0
FBXW11,1,0,1,0,1,0,0,0,0,0,0,0,0,0
NEURL1B,1,0,1,0,1,0,0,1,0,1,0,1,0,0
AC022217.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DUSP1,1,0,1,0,1,0,0,1,0,1,0,1,0,0
ERGIC1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CREBRF,0,0,0,0,0,0,0,1,1,0,0,1,1,0
