chr,strand,geneSymbol,GeneID,Event,Algorithm,FDR,PValue,dPSI,M,PSI_1,PSI_2,Event_info,Annotation_leafcutter,Cutoff_dPSI,Event_type,Junc_coords,PdPSI,Comparison_Name
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.3595,,0.8972,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70951941,0.9005,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.3697,,0.0887,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70952439,0.9593,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4052,,0.0948,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70952439,0.9984,SH_BIO_2178782_10x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4104,,0.9046,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70951994-70952439,0.9993,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.4116,,0.5741,0.9987,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.3,NA,3212709-3213958,0.9754,SH_BIO_2178782_10x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_19505_+,leafcutter,3.85226088224703e-06,8.60722316992986e-09,0.218932051396974,Success,0.00839998566068491,0.227332037057659,logef:1.40444766320074|loglr:18.5706640827283|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3212709:3213622:clu_19505_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,,chr4:clu_19505_+,leafcutter,3.85226088224703e-06,8.60722316992986e-09,-0.352467365778297,Success,0.983198336338389,0.630730970560092,logef:-2.33766545371914|loglr:18.5706640827283|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3212709:3213958:clu_19505_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,,chr4:clu_19505_+,leafcutter,3.85226088224703e-06,8.60722316992986e-09,0.133535314381323,Success,0.00840167800092629,0.141936992382249,logef:0.933217790518407|loglr:18.5706640827283|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3213736:3213958:clu_19505_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.2762,,0.2916,0.0115,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213622,1,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.2762,,0.7084,0.9885,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,1,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.1901,,0.7889,0.9897,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,0.9636,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.1901,,0.2111,0.0103,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3213736-3213958,0.9636,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.2762,,0.2916,0.0115,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213622,0.919,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.2762,,0.7084,0.9885,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213958,0.919,SH_BIO_2178782_3x_vs_SH_BIO_1949634_3x
chr5,+,SMN2,ENSG00000205571.14,SE,rmats_turbo,2.0091381133379e-12,1.55431223448e-15,-0.766,2.75,0.23375,1,exonStart_0base:70071281|exonEnd:70071390|upstreamES:70070640|upstreamEE:70070751|downstreamES:70077018|downstreamEE:70077596|IJC_SAMPLE_1:2;1;0;3|SJC_SAMPLE_1:3;4;3;1|IJC_SAMPLE_2:1;4;1;2|SJC_SAMPLE_2:0;0;0;0|IncFormLen:208|SkipFormLen:99|PSI_1_persub:0.241;0.106;0.0;0.588|PSI_2_persub:1.0;1.0;1.0;1.0,,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_17524_+,leafcutter,1.76241925830406e-07,4.98498633102203e-10,0.227565305172849,Success,2.39711331989494e-06,0.227567702286169,logef:4.03637239198008|loglr:21.4194202685521|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3212709:3213622:clu_17524_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_17524_+,leafcutter,1.76241925830406e-07,4.98498633102203e-10,-0.369416399953413,Success,0.999995801286309,0.630579401332897,logef:-7.88567744240504|loglr:21.4194202685521|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3212709:3213958:clu_17524_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_17524_+,leafcutter,1.76241925830406e-07,4.98498633102203e-10,0.141851094780564,Success,1.80160037062984e-06,0.141852896380935,logef:3.84930505042496|loglr:21.4194202685521|df:2|genes:HTT|N:3|coord:chr4:3212709-3213958|chr4:3213736:3213958:clu_17524_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_18533_+,leafcutter,3.18148691632623e-25,9.54418805789133e-29,0.206039444706248,Success,0.192837904244231,0.398877348950479,logef:1.39670335322573|loglr:70.6419462819722|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70076521:clu_18533_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_18533_+,leafcutter,3.18148691632623e-25,9.54418805789133e-29,-0.381166564185216,Success,0.417435974896844,0.0362694107116274,logef:-1.7732571317583|loglr:70.6419462819722|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70070751:70077019:clu_18533_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN2,,chr5:clu_18533_+,leafcutter,3.18148691632623e-25,9.54418805789133e-29,0.196076838373013,Success,0.353792257738948,0.549869096111961,logef:1.11086968583663|loglr:70.6419462819722|df:5|genes:SMN2|N:6|coord:chr5:70070751-70077019|chr5:70076574:70077019:clu_18533_+,cryptic,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_18550_+,leafcutter,9.27563548480848e-20,5.16770640706738e-23,-0.234875594229802,Success,0.265368813358705,0.0304932191289033,logef:-1.41202835074947|loglr:55.3485853186867|df:4|genes:SMN1|N:5|coord:chr5:70946176-70952439|chr5:70946176:70952439:clu_18550_+,annotated,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,,chr5:clu_18550_+,leafcutter,9.27563548480848e-20,5.16770640706738e-23,0.172661811426871,Success,0.361875559632899,0.534537371059771,logef:1.14168917192812|loglr:55.3485853186867|df:4|genes:SMN1|N:5|coord:chr5:70946176-70952439|chr5:70951994:70952439:clu_18550_+,annotated,NA,NA,,NA,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.3904,,0.9251,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70951941,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.3802,,0.0648,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4214,,0.077,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70946176-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4279,,0.9223,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.1,NA,70951994-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.2744,,0.3039,0.001,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213622,0.9995,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.2744,,0.6961,0.999,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,0.9995,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.1947,,0.7779,0.999,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,0.9795,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.1947,,0.2221,0.001,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.1,NA,3213736-3213958,0.9795,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.3904,,0.9251,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70951941,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.3802,,0.0648,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4214,,0.077,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70946176-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4279,,0.9223,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.2,NA,70951994-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.2744,,0.3039,0.001,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213622,0.9083,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.2744,,0.6961,0.999,lsv_type:s|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213622-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213958,0.9083,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,0.3904,,0.9251,0.5457,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70951941,0.9991,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:s:70946089-70946278,majiq_v2,NA,NA,-0.3802,,0.0648,0.4412,lsv_type:s|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70952439,0.9951,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,-0.4214,,0.077,0.4913,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70946176-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr5,+,SMN1,ENSG00000172062.16,ENSG00000172062.16:t:70952439-70953040,majiq_v2,NA,NA,0.4279,,0.9223,0.5042,lsv_type:t|1e1.1o1|1e2.1o1|1e3.1o1|exons_coords:70946089-70946278;70946707-70946815;70951941-70952347;70952439-70953040|ir_coords:,,0.3,NA,70951994-70952439,1,SH_BIO_2178782_3x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,A3SS,rmats_turbo,0.0165840560965382,0.000101166355273,0.124,165.75,0.94525,0.82125,longExonStart_0base:3207280|longExonEnd:3207357|shortES:3207285|shortEE:3207357|flankingES:3206806|flankingEE:3206983|IJC_SAMPLE_1:225;150;117;171|SJC_SAMPLE_1:11;13;6;6|IJC_SAMPLE_2:21;29;41;16|SJC_SAMPLE_2:7;5;9;2|IncFormLen:104|SkipFormLen:99|PSI_1_persub:0.951;0.917;0.949;0.964|PSI_2_persub:0.741;0.847;0.813;0.884,,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,SE,rmats_turbo,0.000105230519862254,1.52312891188e-07,0.119,436.25,0.97625,0.857,exonStart_0base:3199731|exonEnd:3199939|upstreamES:3187650|upstreamEE:3189093|downstreamES:3204006|downstreamEE:3204148|IJC_SAMPLE_1:583;404;339;419|SJC_SAMPLE_1:3;5;3;2|IJC_SAMPLE_2:74;100;115;60|SJC_SAMPLE_2:4;6;8;2|IncFormLen:307|SkipFormLen:99|PSI_1_persub:0.984;0.963;0.973;0.985|PSI_2_persub:0.856;0.843;0.823;0.906,,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_17702_+,leafcutter,0.0106987253408461,0.000143679828472024,-0.141903351372324,Success,0.948988756675785,0.807085405303461,logef:-0.746084484192388|loglr:7.2266373452992|df:1|genes:HTT|N:2|coord:chr4:3206983-3207286|chr4:3206983:3207281:clu_17702_+,annotated,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_17702_+,leafcutter,0.0106987253408461,0.000143679828472024,0.141903351372324,Success,0.0510112433242146,0.192914594696539,logef:0.746084484192388|loglr:7.2266373452992|df:1|genes:HTT|N:2|coord:chr4:3206983-3207286|chr4:3206983:3207286:clu_17702_+,annotated,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_17703_+,leafcutter,4.30747106806132e-10,5.45733063228344e-13,0.159500951380518,Success,0.0169159457290801,0.176416897109598,logef:1.02624820382031|loglr:30.0755131217633|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3212709:3213490:clu_17703_+,cryptic,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_17703_+,leafcutter,4.30747106806132e-10,5.45733063228344e-13,0.408636791561804,Success,0.0400354472475703,0.448672238809375,logef:1.09818238549772|loglr:30.0755131217633|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3212709:3213622:clu_17703_+,cryptic,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_17703_+,leafcutter,4.30747106806132e-10,5.45733063228344e-13,-0.784163484835994,Success,0.921821319326089,0.137657834490094,logef:-3.21992527438331|loglr:30.0755131217633|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3212709:3213958:clu_17703_+,cryptic,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,,chr4:clu_17703_+,leafcutter,4.30747106806132e-10,5.45733063228344e-13,0.216025741893672,Success,0.0212272876972611,0.237253029590933,logef:1.09549468506528|loglr:30.0755131217633|df:3|genes:HTT|N:4|coord:chr4:3212709-3213958|chr4:3213736:3213958:clu_17703_+,cryptic,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.22,,0.254,0.0187,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213490,0.9793,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.5675,,0.6049,0.047,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213622,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.8012,,0.15,0.934,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.6861,,0.3036,0.9716,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3212709-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.6861,,0.6964,0.0284,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.1,NA,3213736-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.5675,,0.6049,0.047,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213622,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.8012,,0.15,0.934,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.6861,,0.3036,0.9716,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3212709-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.6861,,0.6964,0.0284,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.2,NA,3213736-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.5675,,0.6049,0.047,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.3,NA,3212709-3213622,0.9999,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.8012,,0.15,0.934,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.3,NA,3212709-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.6861,,0.3036,0.9716,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.3,NA,3212709-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.6861,,0.6964,0.0284,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.3,NA,3213736-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,0.5675,,0.6049,0.047,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.4,NA,3212709-3213622,0.9868,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:s:3212564-3213055,majiq_v2,NA,NA,-0.8012,,0.15,0.934,lsv_type:s|1e1.1o2|1e1.2o2|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.4,NA,3212709-3213958,1,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,-0.6861,,0.3036,0.9716,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.4,NA,3212709-3213958,0.9983,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,ENSG00000197386.12:t:3213958-3214156,majiq_v2,NA,NA,0.6861,,0.6964,0.0284,lsv_type:t|1e1.1o1|1e2.1o1|exons_coords:3212564-3213055;3213490-3213736;3213958-3214156|ir_coords:,,0.4,NA,3213736-3213958,0.9983,SH_BIO_2196772_10x_vs_SH_BIO_1949634_10x
chr4,+,HTT,ENSG00000197386.12,A3SS,rmats_turbo,0.00148407523423916,6.04810922644e-06,0.137,181.5,0.958,0.82125,longExonStart_0base:3207280|longExonEnd:3207357|shortES:3207285|shortEE:3207357|flankingES:3206806|flankingEE:3206983|IJC_SAMPLE_1:166;199;201;160|SJC_SAMPLE_1:7;11;9;4|IJC_SAMPLE_2:21;29;41;16|SJC_SAMPLE_2:7;5;9;2|IncFormLen:104|SkipFormLen:99|PSI_1_persub:0.958;0.945;0.955;0.974|PSI_2_persub:0.741;0.847;0.813;0.884,,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_DMSO
chr4,+,HTT,ENSG00000197386.12,SE,rmats_turbo,3.02635299694729e-06,7.15580539268e-09,0.125,479.25,0.98225,0.857,exonStart_0base:3199731|exonEnd:3199939|upstreamES:3187650|upstreamEE:3189093|downstreamES:3204006|downstreamEE:3204148|IJC_SAMPLE_1:449;489;539;440|SJC_SAMPLE_1:6;2;2;1|IJC_SAMPLE_2:74;100;115;60|SJC_SAMPLE_2:4;6;8;2|IncFormLen:307|SkipFormLen:99|PSI_1_persub:0.96;0.987;0.989;0.993|PSI_2_persub:0.856;0.843;0.823;0.906,,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_DMSO
chr4,+,HTT,,chr4:clu_16855_+,leafcutter,0.00229762274078302,3.59815814514177e-05,-0.151884141962992,Success,0.959061127485382,0.807176985522389,logef:-0.861052280707441|loglr:8.53619622680338|df:1|genes:HTT|N:2|coord:chr4:3206983-3207286|chr4:3206983:3207281:clu_16855_+,annotated,NA,NA,,NA,SH_BIO_2196772_10x_vs_SH_DMSO
